,exit_1,exit_2,exit_3,exit_4,exit_5,exit_6,exit_7,enter_1,enter_2,enter_3,enter_4,enter_5,enter_6
1207,2019-05-07,2019-03-14,2018-01-03,,,,,2019-05-15,2019-04-25,2019-02-28,,,
1208,2019-05-13,,,,,,,2019-05-15,,,,,
1209,2019-01-15,,,,,,,2019-05-16,,,,,
1210,2018-11-02,2017-10-25,,,,,,2019-05-16,2018-09-11,,,,
1211,2018-11-29,,,,,,,2019-05-16,,,,,
1212,2018-02-24,,,,,,,2018-05-17,,,,,
1213,2018-04-02,,,,,,,2018-05-17,,,,,
1214,2021-05-13,,,,,,,2021-05-17,,,,,
1215,2021-05-14,,,,,,,2021-05-17,,,,,
1216,2020-12-09,2020-06-09,,,,,,2021-05-17,2020-10-13,,,,
1217,2020-01-31,,,,,,,2020-05-18,,,,,
1218,2020-02-18,,,,,,,2020-05-18,,,,,
1219,2019-02-21,2018-10-09,,,,,,2020-05-18,2018-10-09,,,,
1220,2020-05-15,2020-01-09,,,,,,2020-05-19,2020-05-11,,,,
1221,2019-07-23,2019-07-23,,,,,,2020-05-19,2019-07-23,,,,
1222,2019-08-27,2019-08-27,2019-07-18,,,,,2020-05-19,2019-09-17,2019-08-23,,,
1223,2019-09-09,,,,,,,2020-05-19,,,,,
1224,2019-04-15,,,,,,,2019-05-20,,,,,
1225,2019-05-03,,,,,,,2019-05-20,,,,,
1226,2019-05-03,,,,,,,2019-05-20,,,,,
1228,2020-01-24,,,,,,,2020-05-20,,,,,
1229,2020-02-06,2020-01-24,,,,,,2020-05-20,2020-01-29,,,,
1230,2020-04-03,,,,,,,2020-05-20,,,,,
1231,2021-05-20,,,,,,,2021-05-20,,,,,
1232,2018-05-13,,,,,,,2019-05-21,,,,,
1233,2018-06-29,,,,,,,2019-05-21,,,,,
1234,2020-03-20,,,,,,,2020-05-21,,,,,
1235,2020-04-03,,,,,,,2020-05-21,,,,,
1236,2019-05-03,,,,,,,2020-05-21,,,,,
1237,2018-03-05,,,,,,,2018-05-22,,,,,
1238,2018-05-16,,,,,,,2018-05-22,,,,,
1239,2018-04-10,,,,,,,2019-05-22,,,,,
1240,2019-04-30,2018-02-15,,,,,,2019-05-22,2018-05-09,,,,
1241,2019-04-30,2018-02-15,,,,,,2019-05-22,2018-07-12,,,,
1242,2020-01-02,2019-12-03,,,,,,2020-05-22,2019-12-26,,,,
1243,2020-01-02,2019-12-03,2018-03-20,2018-01-05,2017-11-30,,,2020-05-22,2019-12-26,2019-04-03,2018-02-12,2017-12-11,
1244,2020-04-16,,,,,,,2020-05-22,,,,,
1245,2019-07-18,2019-05-21,,,,,,2020-05-22,2019-07-05,,,,
1246,2019-10-16,,,,,,,2020-05-22,,,,,
1247,2019-11-13,,,,,,,2020-05-22,,,,,
1248,2018-01-24,,,,,,,2018-05-23,,,,,
1249,2017-10-31,,,,,,,2018-05-23,,,,,
1250,2018-12-10,,,,,,,2019-05-23,,,,,
1251,2021-04-05,,,,,,,2021-05-25,,,,,
1252,2020-03-16,2018-08-17,,,,,,2020-05-26,2019-08-27,,,,
1253,2020-04-13,,,,,,,2020-05-26,,,,,
1254,2020-05-18,,,,,,,2020-05-26,,,,,
1255,2021-05-26,2020-01-14,,,,,,2021-05-26,2020-07-20,,,,
1256,2020-05-13,,,,,,,2020-05-27,,,,,
1257,2019-11-22,,,,,,,2020-05-27,,,,,
1258,2018-02-20,,,,,,,2019-05-28,,,,,
1259,2019-05-07,,,,,,,2019-05-28,,,,,
1260,2019-04-18,2018-09-20,,,,,,2020-05-28,2019-02-08,,,,
1261,2018-12-28,,,,,,,2020-05-28,,,,,
1262,2018-04-09,,,,,,,2018-05-29,,,,,
1263,2019-05-03,,,,,,,2019-05-29,,,,,
1264,2020-05-13,,,,,,,2020-05-29,,,,,
1265,2018-03-12,,,,,,,2018-05-30,,,,,
1266,2019-02-06,,,,,,,2019-05-30,,,,,
1267,2018-02-07,2018-02-07,,,,,,2019-05-30,2018-02-07,,,,
1268,2018-11-28,2018-06-22,,,,,,2019-05-30,2018-11-21,,,,
1269,2019-05-07,,,,,,,2019-05-31,,,,,
1270,2020-04-02,,,,,,,2020-06-01,,,,,
1271,2020-02-28,,,,,,,2020-06-02,,,,,
1272,2019-03-12,,,,,,,2020-06-02,,,,,
1273,2020-03-30,2019-10-29,,,,,,2020-06-02,2020-01-29,,,,
1274,2020-05-21,,,,,,,2020-06-02,,,,,
1275,2019-10-22,2019-09-09,,,,,,2020-06-02,2019-09-25,,,,
1276,2019-11-29,2019-07-11,,,,,,2020-06-02,2019-09-25,,,,
1277,2018-12-31,2018-03-19,,,,,,2020-06-02,2018-03-26,,,,
1278,2019-01-31,,,,,,,2019-06-03,,,,,
1279,2020-03-17,,,,,,,2020-06-03,,,,,
1280,2020-04-22,2019-01-31,,,,,,2020-06-03,2020-01-07,,,,
1281,2019-12-16,2019-12-16,,,,,,2020-06-03,,,,,
1282,2019-12-21,2021-05-16,,,,,,2020-06-03,,,,,
1283,2021-05-06,2021-05-06,,,,,,2021-06-03,2021-06-03,,,,
1284,2021-06-02,,,,,,,2021-06-03,,,,,
1285,2018-05-07,,,,,,,2018-06-04,,,,,
1286,2019-04-03,2018-10-02,,,,,,2019-06-04,2019-03-12,,,,
1287,2019-05-14,,,,,,,2019-06-04,,,,,
1288,2017-12-04,,,,,,,2019-06-04,,,,,
1289,2020-02-28,,,,,,,2020-06-04,,,,,
1290,2018-07-26,2018-04-24,,,,,,2020-06-04,2018-07-06,,,,
1292,2021-04-30,,,,,,,2021-06-04,,,,,
1293,2021-05-04,,,,,,,2021-06-04,,,,,
1294,2018-04-12,,,,,,,2018-06-05,,,,,
1295,2018-05-31,,,,,,,2018-06-05,,,,,
1296,2018-06-01,,,,,,,2018-06-05,,,,,
1297,2018-06-05,,,,,,,2018-06-05,,,,,
